Destination,Origin,Year,Value,world_tot,percentage
Western Sahara,WORLD,2015,5179,247958644,2.09E-05
Western Sahara,WORLD,2020,5424,280598105,1.93E-05
France,WORLD,1990,5897267,152986157,0.038547716
France,WORLD,1995,6087993,161289976,0.037745638
France,WORLD,2000,6278718,173230585,0.036244858
France,WORLD,2005,6737600,191446828,0.035193062
France,WORLD,2010,7309986,220983187,0.033079376
France,WORLD,2015,7878338,247958644,0.03177279
France,WORLD,2020,8524876,280598105,0.030381089
Monaco,WORLD,1990,20359,152986157,0.000133077
Monaco,WORLD,1995,21060,161289976,0.000130572
Monaco,WORLD,2000,21787,173230585,0.000125769
Monaco,WORLD,2005,21312,191446828,0.000111321
Monaco,WORLD,2010,21132,220983187,9.56E-05
Monaco,WORLD,2015,25983,247958644,0.000104788
Monaco,WORLD,2020,26601,280598105,9.48E-05
Mediterranean,WORLD,1990,16142994,152986157,0.105519312
Mediterranean,WORLD,1995,18182342,161289976,0.112730763
Mediterranean,WORLD,2000,20265739,173230585,0.116987072
Mediterranean,WORLD,2005,25646897,191446828,0.133963551
Mediterranean,WORLD,2010,32307811,220983187,0.146200313
Mediterranean,WORLD,2015,36161904,247958644,0.145838449
Mediterranean,WORLD,2020,40558200,280598105,0.14454196
